,Domain Properties,,Server,Trusted Relationship,,Inter-Process Communication,Component Object Model,,Port Monitors,,Kernel Modules and Extensions,Debugger Evasion,,,Windows Credential Manager,Debugger Evasion,,Replication Through Removable Media,,,Remote Data Staging,,Domain Generation Algorithms,Transfer Data to Cloud Account,,,Application or System Exploitation
,IP Addresses,,Virtual Private Server,Valid Accounts,Cloud Accounts,,Dynamic Data Exchange,,Print Processors,,LSASS Driver,Deobfuscate/Decode Files or Information,,Exploitation for Credential Access,,Domain Trust Discovery,,Software Deployment Tools,,Data from Cloud Storage Object,,,Fast Flux DNS,,,,OS Exhaustion Flood
,Network Security Appliances,,Web Services,,Default Accounts,,XPC Services,,Re-opened Applications,,Login Items,Deploy Container,,Forced Authentication,,File and Directory Discovery,,Taint Shared Content,,Data from Configuration Repository,Network Device Configuration Dump,Encrypted Channel,Asymmetric Cryptography,,,,Service Exhaustion Flood
,Network Topology,Develop Capabilities,Code Signing Certificates,,Domain Accounts,Native API,,,Registry Run Keys / Startup Folder,,Port Monitors,Direct Volume Access,,Forge Web Credentials,SAML Tokens,Group Policy Discovery,,Use Alternate Authentication Material,Application Access Token,,SNMP (MIB Dump),,Symmetric Cryptography,,,Firmware Corruption,
,Network Trust Dependencies,,Digital Certificates,,Local Accounts,Scheduled Task/Job,At,,Security Support Provider,,Print Processors,Domain Policy Modification,Domain Trust Modification,,Web Cookies,Network Service Discovery,,,Pass the Hash,Data from Information Repositories,Code Repositories,Fallback Channels,,,,Inhibit System Recovery,
Gather Victim Org Information,Business Relationships,,Exploits,,,,Container Orchestration Job,,Shortcut Modification,,Re-opened Applications,,Group Policy Modification,Input Capture,Credential API Hooking,Network Share Discovery,,,Pass the Ticket,,Confluence,Ingress Tool Transfer,,,,Network Denial of Service,Direct Network Flood
,Determine Physical Locations,,Malware,,,,Cron,,Time Providers,,Registry Run Keys / Startup Folder,Execution Guardrails,Environmental Keying,,GUI Input Capture,Network Sniffing,,,Web Session Cookie,,Sharepoint,Multi-Stage Channels,,,,,Reflection Amplification
,Identify Business Tempo,Establish Accounts,Email Accounts,,,,Scheduled Task,,Winlogon Helper DLL,,Security Support Provider,Exploitation for Defense Evasion,,,Keylogging,Password Policy Discovery,,,,Data from Local System,,Non-Application Layer Protocol,,,,Resource Hijacking,
,Identify Roles,,Social Media Accounts,,,,Systemd Timers,,XDG Autostart Entries,,Shortcut Modification,File and Directory Permissions Modification,Linux and Mac File and Directory Permissions Modification,,Web Portal Capture,Peripheral Device Discovery,,,,Data from Network Shared Drive,,Non-Standard Port,,,,Service Stop,
Phishing for Information,Spearphishing Attachment,Obtain Capabilities,Code Signing Certificates,,,Shared Modules,,Boot or Logon Initialization Scripts,Login Hook,,Time Providers,,Windows File and Directory Permissions Modification,Modify Authentication Process,Domain Controller Authentication,Permission Groups Discovery,Cloud Groups,,,Data from Removable Media,,Protocol Tunneling,,,,System Shutdown/Reboot,
,Spearphishing Link,,Digital Certificates,,,Software Deployment Tools,,,Logon Script (Windows),,Winlogon Helper DLL,Hide Artifacts,Email Hiding Rules,,Network Device Authentication,,Domain Groups,,,Email Collection,Email Forwarding Rule,Proxy,Domain Fronting,,,,
,Spearphishing Service,,Exploits,,,System Services,Launchctl,,Network Logon Script,,XDG Autostart Entries,,Hidden File System,,Password Filter DLL,,Local Groups,,,,Local Email Collection,,External Proxy,,,,
Search Closed Sources,Purchase Technical Data,,Malware,,,,Service Execution,,RC Scripts,Boot or Logon Initialization Scripts,Login Hook,,Hidden Files and Directories,,Pluggable Authentication Modules,Process Discovery,,,,,Remote Email Collection,,Internal Proxy,,,,
,Threat Intel Vendors,,Tool,,,User Execution,Malicious File,,Startup Items,,Logon Script (Windows),,Hidden Users,,Reversible Encryption,Query Registry,,,,Input Capture,Credential API Hooking,,Multi-hop Proxy,,,,
Search Open Technical Databases,CDNs,,Vulnerabilities,,,,Malicious Image,Browser Extensions,,,Network Logon Script,,Hidden Window,Multi-Factor Authentication Interception,,Remote System Discovery,,,,,GUI Input Capture,Remote Access Software,,,,,
,DNS/Passive DNS,Stage Capabilities,Drive-by Target,,,,Malicious Link,Compromise Client Software Binary,,,RC Scripts,,NTFS File Attributes,Multi-Factor Authentication Request Generation,,Software Discovery,Security Software Discovery,,,,Keylogging,Traffic Signaling,Port Knocking,,,,
,Digital Certificates,,Install Digital Certificate,,,Windows Management Instrumentation,,Create Account,Cloud Account,,Startup Items,,Process Argument Spoofing,Network Sniffing,,System Information Discovery,,,,,Web Portal Capture,Web Service,Bidirectional Communication,,,,
,Scan Databases,,Link Target,,,,,,Domain Account,Create or Modify System Process,Launch Agent,,Resource Forking,OS Credential Dumping,/etc/passwd and /etc/shadow,System Location Discovery,System Language Discovery,,,Screen Capture,,,Dead Drop Resolver,,,,
,WHOIS,,Upload Malware,,,,,,Local Account,,Launch Daemon,,Run Virtual Instance,,Cached Domain Credentials,System Network Configuration Discovery,Internet Connection Discovery,,,Video Capture,,,One-Way Communication,,,,
Search Open Websites/Domains,Search Engines,,Upload Tool,,,,,Create or Modify System Process,Launch Agent,,Systemd Service,,VBA Stomping,,DCSync,System Network Connections Discovery,,,,,,,,,,,
,Social Media,,,,,,,,Launch Daemon,,Windows Service,Hijack Execution Flow,COR_PROFILER,,LSA Secrets,System Owner/User Discovery,,,,,,,,,,,
Search Victim-Owned Websites,,,,,,,,,Systemd Service,Domain Policy Modification,Domain Trust Modification,,DLL Search Order Hijacking,,LSASS Memory,System Service Discovery,,,,,,,,,,,
,,,,,,,,,Windows Service,,Group Policy Modification,,DLL Side-Loading,,NTDS,System Time Discovery,,,,,,,,,,,
,,,,,,,,Event Triggered Execution,Accessibility Features,Escape to Host,,,Dylib Hijacking,,Proc Filesystem,Virtualization/Sandbox Evasion,System Checks,,,,,,,,,,
,,,,,,,,,AppCert DLLs,Event Triggered Execution,Accessibility Features,,Dynamic Linker Hijacking,,Security Account Manager,,Time Based Evasion,,,,,,,,,,
,,,,,,,,,AppInit DLLs,,AppCert DLLs,,Executable Installer File Permissions Weakness,Steal Application Access Token,,,User Activity Based Checks,,,,,,,,,,
,,,,,,,,,Application Shimming,,AppInit DLLs,,KernelCallbackTable,Steal Web Session Cookie,,,,,,,,,,,,,
,,,,,,,,,Change Default File Association,,Application Shimming,,Path Interception by PATH Environment Variable,Steal or Forge Kerberos Tickets,AS-REP Roasting,,,,,,,,,,,,
,,,,,,,,,Component Object Model Hijacking,,Change Default File Association,,Path Interception by Search Order Hijacking,,Golden Ticket,,,,,,,,,,,,
,,,,,,,,,Emond,,Component Object Model Hijacking,,Path Interception by Unquoted Path,,Kerberoasting,,,,,,,,,,,,
,,,,,,,,,Image File Execution Options Injection,,Emond,,Services File Permissions Weakness,,Silver Ticket,,,,,,,,,,,,
,,,,,,,,,LC_LOAD_DYLIB Addition,,Image File Execution Options Injection,,Services Registry Permissions Weakness,Unsecured Credentials,Bash History,,,,,,,,,,,,
,,,,,,,,,Netsh Helper DLL,,LC_LOAD_DYLIB Addition,Impair Defenses,Disable Cloud Logs,,Cloud Instance Metadata API,,,,,,,,,,,,
,,,,,,,,,PowerShell Profile,,Netsh Helper DLL,,Disable Windows Event Logging,,Container API,,,,,,,,,,,,
,,,,,,,,,Screensaver,,PowerShell Profile,,Disable or Modify Cloud Firewall,,Credentials In Files,,,,,,,,,,,,
,,,,,,,,,Trap,,Screensaver,,Disable or Modify System Firewall,,Credentials in Registry,,,,,,,,,,,,
,,,,,,,,,Unix Shell Configuration Modification,,Trap,,Disable or Modify Tools,,Group Policy Preferences,,,,,,,,,,,,
,,,,,,,,,Windows Management Instrumentation Event Subscription,,Unix Shell Configuration Modification,,Downgrade Attack,,Private Keys,,,,,,,,,,,,
,,,,,,,,External Remote Services,,,Windows Management Instrumentation Event Subscription,,Impair Command History Logging,,,,,,,,,,,,,,
,,,,,,,,Hijack Execution Flow,COR_PROFILER,Exploitation for Privilege Escalation,,,Indicator Blocking,,,,,,,,,,,,,,
,,,,,,,,,DLL Search Order Hijacking,Hijack Execution Flow,COR_PROFILER,,Safe Mode Boot,,,,,,,,,,,,,,
,,,,,,,,,DLL Side-Loading,,DLL Search Order Hijacking,Indicator Removal on Host,Clear Command History,,,,,,,,,,,,,,
,,,,,,,,,Dylib Hijacking,,DLL Side-Loading,,Clear Linux or Mac System Logs,,,,,,,,,,,,,,
,,,,,,,,,Dynamic Linker Hijacking,,Dylib Hijacking,,Clear Windows Event Logs,,,,,,,,,,,,,,
,,,,,,,,,Executable Installer File Permissions Weakness,,Dynamic Linker Hijacking,,File Deletion,,,,,,,,,,,,,,
,,,,,,,,,KernelCallbackTable,,Executable Installer File Permissions Weakness,,Network Share Connection Removal,,,,,,,,,,,,,,
,,,,,,,,,Path Interception by PATH Environment Variable,,KernelCallbackTable,,Timestomp,,,,,,,,,,,,,,
,,,,,,,,,Path Interception by Search Order Hijacking,,Path Interception by PATH Environment Variable,Indirect Command Execution,,,,,,,,,,,,,,,
,,,,,,,,,Path Interception by Unquoted Path,,Path Interception by Search Order Hijacking,Masquerading,Double File Extension,,,,,,,,,,,,,,
,,,,,,,,,Services File Permissions Weakness,,Path Interception by Unquoted Path,,Invalid Code Signature,,,,,,,,,,,,,,
,,,,,,,,,Services Registry Permissions Weakness,,Services File Permissions Weakness,,Masquerade Task or Service,,,,,,,,,,,,,,
,,,,,,,,Implant Internal Image,,,Services Registry Permissions Weakness,,Match Legitimate Name or Location,,,,,,,,,,,,,,
,,,,,,,,Modify Authentication Process,Domain Controller Authentication,Process Injection,Asynchronous Procedure Call,,Rename System Utilities,,,,,,,,,,,,,,
,,,,,,,,,Network Device Authentication,,Dynamic-link Library Injection,,Right-to-Left Override,,,,,,,,,,,,,,
,,,,,,,,,Password Filter DLL,,Extra Window Memory Injection,,Space after Filename,,,,,,,,,,,,,,
,,,,,,,,,Pluggable Authentication Modules,,ListPlanting,Modify Authentication Process,Domain Controller Authentication,,,,,,,,,,,,,,
,,,,,,,,,Reversible Encryption,,Portable Executable Injection,,Network Device Authentication,,,,,,,,,,,,,,
,,,,,,,,Office Application Startup,Add-ins,,Proc Memory,,Password Filter DLL,,,,,,,,,,,,,,
,,,,,,,,,Office Template Macros,,Process Doppelgänging,,Pluggable Authentication Modules,,,,,,,,,,,,,,
,,,,,,,,,Office Test,,Process Hollowing,,Reversible Encryption,,,,,,,,,,,,,,
,,,,,,,,,Outlook Forms,,Ptrace System Calls,Modify Cloud Compute Infrastructure,Create Cloud Instance,,,,,,,,,,,,,,
,,,,,,,,,Outlook Home Page,,Thread Execution Hijacking,,Create Snapshot,,,,,,,,,,,,,,
,,,,,,,,,Outlook Rules,,Thread Local Storage,,Delete Cloud Instance,,,,,,,,,,,,,,
,,,,,,,,Pre-OS Boot,Bootkit,,VDSO Hijacking,,Revert Cloud Instance,,,,,,,,,,,,,,
,,,,,,,,,Component Firmware,Scheduled Task/Job,At,Modify Registry,,,,,,,,,,,,,,,
,,,,,,,,,ROMMONkit,,Container Orchestration Job,Modify System Image,Downgrade System Image,,,,,,,,,,,,,,
,,,,,,,,,System Firmware,,Cron,,Patch System Image,,,,,,,,,,,,,,
,,,,,,,,,TFTP Boot,,Scheduled Task,Network Boundary Bridging,Network Address Translation Traversal,,,,,,,,,,,,,,
,,,,,,,,Scheduled Task/Job,At,,Systemd Timers,Obfuscated Files or Information,Binary Padding,,,,,,,,,,,,,,
,,,,,,,,,Container Orchestration Job,Valid Accounts,Cloud Accounts,,Compile After Delivery,,,,,,,,,,,,,,
,,,,,,,,,Cron,,Default Accounts,,HTML Smuggling,,,,,,,,,,,,,,
,,,,,,,,,Scheduled Task,,Domain Accounts,,Indicator Removal from Tools,,,,,,,,,,,,,,
,,,,,,,,,Systemd Timers,,Local Accounts,,Software Packing,,,,,,,,,,,,,,
,,,,,,,,Server Software Component,IIS Components,,,,Steganography,,,,,,,,,,,,,,
,,,,,,,,,SQL Stored Procedures,,,Plist File Modification,,,,,,,,,,,,,,,
,,,,,,,,,Terminal Services DLL,,,Pre-OS Boot,Bootkit,,,,,,,,,,,,,,
,,,,,,,,,Transport Agent,,,,Component Firmware,,,,,,,,,,,,,,
,,,,,,,,,Web Shell,,,,ROMMONkit,,,,,,,,,,,,,,
,,,,,,,,Traffic Signaling,Port Knocking,,,,System Firmware,,,,,,,,,,,,,,
,,,,,,,,Valid Accounts,Cloud Accounts,,,,TFTP Boot,,,,,,,,,,,,,,
,,,,,,,,,Default Accounts,,,Process Injection,Asynchronous Procedure Call,,,,,,,,,,,,,,
,,,,,,,,,Domain Accounts,,,,Dynamic-link Library Injection,,,,,,,,,,,,,,
,,,,,,,,,Local Accounts,,,,Extra Window Memory Injection,,,,,,,,,,,,,,
,,,,,,,,,,,,,ListPlanting,,,,,,,,,,,,,,
,,,,,,,,,,,,,Portable Executable Injection,,,,,,,,,,,,,,
,,,,,,,,,,,,,Proc Memory,,,,,,,,,,,,,,
,,,,,,,,,,,,,Process Doppelgänging,,,,,,,,,,,,,,
,,,,,,,,,,,,,Process Hollowing,,,,,,,,,,,,,,
,,,,,,,,,,,,,Ptrace System Calls,,,,,,,,,,,,,,
,,,,,,,,,,,,,Thread Execution Hijacking,,,,,,,,,,,,,,
,,,,,,,,,,,,,Thread Local Storage,,,,,,,,,,,,,,
,,,,,,,,,,,,,VDSO Hijacking,,,,,,,,,,,,,,
,,,,,,,,,,,,Reflective Code Loading,,,,,,,,,,,,,,,
,,,,,,,,,,,,Rogue Domain Controller,,,,,,,,,,,,,,,
,,,,,,,,,,,,Rootkit,,,,,,,,,,,,,,,
,,,,,,,,,,,,Subvert Trust Controls,Code Signing,,,,,,,,,,,,,,
,,,,,,,,,,,,,Code Signing Policy Modification,,,,,,,,,,,,,,
,,,,,,,,,,,,,Gatekeeper Bypass,,,,,,,,,,,,,,
,,,,,,,,,,,,,Install Root Certificate,,,,,,,,,,,,,,
,,,,,,,,,,,,,Mark-of-the-Web Bypass,,,,,,,,,,,,,,
,,,,,,,,,,,,,SIP and Trust Provider Hijacking,,,,,,,,,,,,,,
,,,,,,,,,,,,System Binary Proxy Execution,CMSTP,,,,,,,,,,,,,,
,,,,,,,,,,,,,Compiled HTML File,,,,,,,,,,,,,,
,,,,,,,,,,,,,Control Panel,,,,,,,,,,,,,,
,,,,,,,,,,,,,InstallUtil,,,,,,,,,,,,,,
,,,,,,,,,,,,,MMC,,,,,,,,,,,,,,
,,,,,,,,,,,,,Mavinject,,,,,,,,,,,,,,
,,,,,,,,,,,,,Mshta,,,,,,,,,,,,,,
,,,,,,,,,,,,,Msiexec,,,,,,,,,,,,,,
,,,,,,,,,,,,,Odbcconf,,,,,,,,,,,,,,
,,,,,,,,,,,,,Regsvcs/Regasm,,,,,,,,,,,,,,
,,,,,,,,,,,,,Regsvr32,,,,,,,,,,,,,,
,,,,,,,,,,,,,Rundll32,,,,,,,,,,,,,,
,,,,,,,,,,,,,Verclsid,,,,,,,,,,,,,,
,,,,,,,,,,,,System Script Proxy Execution,PubPrn,,,,,,,,,,,,,,
,,,,,,,,,,,,Template Injection,,,,,,,,,,,,,,,
,,,,,,,,,,,,Traffic Signaling,Port Knocking,,,,,,,,,,,,,,
,,,,,,,,,,,,Trusted Developer Utilities Proxy Execution,MSBuild,,,,,,,,,,,,,,
,,,,,,,,,,,,Unused/Unsupported Cloud Regions,,,,,,,,,,,,,,,
,,,,,,,,,,,,Use Alternate Authentication Material,Application Access Token,,,,,,,,,,,,,,
,,,,,,,,,,,,,Pass the Hash,,,,,,,,,,,,,,
,,,,,,,,,,,,,Pass the Ticket,,,,,,,,,,,,,,
,,,,,,,,,,,,,Web Session Cookie,,,,,,,,,,,,,,
,,,,,,,,,,,,Valid Accounts,Cloud Accounts,,,,,,,,,,,,,,
,,,,,,,,,,,,,Default Accounts,,,,,,,,,,,,,,
,,,,,,,,,,,,,Domain Accounts,,,,,,,,,,,,,,
,,,,,,,,,,,,,Local Accounts,,,,,,,,,,,,,,
,,,,,,,,,,,,Virtualization/Sandbox Evasion,System Checks,,,,,,,,,,,,,,
,,,,,,,,,,,,,Time Based Evasion,,,,,,,,,,,,,,
,,,,,,,,,,,,,User Activity Based Checks,,,,,,,,,,,,,,
,,,,,,,,,,,,Weaken Encryption,Disable Crypto Hardware,,,,,,,,,,,,,,
,,,,,,,,,,,,,Reduce Key Space,,,,,,,,,,,,,,
,,,,,,,,,,,,XSL Script Processing,,,,,,,,,,,,,,,
